manufacturers,models,titels,dates,types,refrigerants,mass_of_refrigerants,spl_indoor,spl_outdoor,eta,p_rated,scop,t_biv,tol,p_th_minus7,cop_minus7,p_th_2,cop_2,p_th_7,cop_7,p_th_12,cop_12,p_th_tbiv,cop_tbiv,p_th_tol,cop_tol,rated_airflows,wtols,poffs,ptos,psbs,pcks,supply_energy,supp_energy_types,p_sups,p_design_cools,seers,pdcs_35,eer_35,pdcs_30,eer_30,pdcs_25,eer_25,pdcs_20,eer_20,temperatures
 Nibe AB,F2040-6,F2040-6,,Outdoor Air/Water,R410A,"1,500 kg",35,50,188,4.80,4.77,-7,-10,4.30,2.60,2.60,4.84,1.70,6.91,2.70,7.72,4.30,2.60,3.20,2.24,,58,7,12,12,0,,1,1.60,,,,,,,,,,,low
 Nibe AB,F2040-6,F2040-6,,Outdoor Air/Water,R410A,"1,500 kg",35,50,131,5.30,3.35,-7,-10,4.70,1.88,2.80,3.26,1.80,4.72,2.70,6.47,4.70,1.88,4.10,1.77,,58,7,12,12,0,,1,1.20,,,,,,,,,,,high
 ait-deutschland GmbH,LW 251,LW 251 (L),08.10.2019,Outdoor Air/Water,R407c,"9,800 kg",63,,155,25.31,3.95,-5,-10,19.36,2.96,24.23,3.77,14.34,5.06,16.85,5.90,20.44,3.18,17.75,2.66,,70,10,10,10,0,,1,7.56,,,,,,,,,,,low
 ait-deutschland GmbH,LW 251,LW 251 (L),08.10.2019,Outdoor Air/Water,R407c,"9,800 kg",63,,122,25.01,3.13,-5,-10,19.18,2.07,23.93,3.02,14.29,4.13,16.82,5.44,20.20,2.24,17.70,1.83,,70,10,10,10,0,,1,7.31,,,,,,,,,,,high
 ait-deutschland GmbH,LW 251,LW 251A,08.10.2019,Outdoor Air/Water,R407c,"9,800 kg",63,62,155,25.31,3.95,-5,-10,19.36,2.96,24.23,3.77,14.34,5.06,16.85,5.90,20.44,3.18,17.75,2.66,,70,10,10,10,0,,1,7.56,,,,,,,,,,,low
 ait-deutschland GmbH,LW 251,LW 251A,08.10.2019,Outdoor Air/Water,R407c,"9,800 kg",63,62,122,25.01,3.13,-5,-10,19.18,2.07,23.93,3.02,14.29,4.13,16.82,5.44,20.20,2.24,17.70,1.83,,70,10,10,10,0,,1,7.31,,,,,,,,,,,high
 Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-8,Bosch Compress 3000 AWS-8 B,18.07.2017,Outdoor Air/Water,R410A,"1,600 kg",41,65,187,7.43,4.74,-10,-10,6.63,3.08,4.00,4.75,3.66,5.96,3.99,6.82,7.44,2.51,7.44,2.51,,57,13,13,13,17,Electricity,0,0.00,,,,,,,,,,,low
 Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-8,Bosch Compress 3000 AWS-8 B,18.07.2017,Outdoor Air/Water,R410A,"1,600 kg",41,65,131,5.20,3.35,-9,-9,4.55,2.00,3.94,3.41,3.46,4.41,4.14,5.84,5.02,1.33,5.02,1.33,,57,13,13,13,17,Electricity,0,0.00,,,,,,,,,,,high
 Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-8,Bosch Compress 3000 AWS-8 E,18.07.2017,Outdoor Air/Water,R410A,"1,600 kg",41,65,187,7.43,4.74,-10,-10,6.63,3.08,4.00,4.75,3.66,5.96,3.99,6.82,7.44,2.51,7.44,2.51,,57,13,13,13,17,Electricity,1,0.00,,,,,,,,,,,low
 Bosch Thermotechnik GmbH,Bosch Compress 3000 AWS-8,Bosch Compress 3000 AWS-8 E,18.07.2017,Outdoor Air/Water,R410A,"1,600 kg",41,65,131,5.20,3.35,-9,-9,4.55,2.00,3.94,3.41,3.46,4.41,4.14,5.84,5.02,1.33,5.02,1.33,,57,13,13,13,17,Electricity,1,5.20,,,,,,,,,,,high
