Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,T_outside [°C],T_out [°C],Pdc [kW],EER
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETVX16S23D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSX16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P30D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DV / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSX16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,35,7,6.90,2.70
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,30,7,5.23,3.65
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,25,7,5.05,4.58
DAIKIN Europe N.V.,EPRA14DW / ETSXB16P50D,2020-02-07,Outdoor Air/Water,R32,4.2,6.90,20,7,4.94,5.41
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
