Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_ref [W],P_th_ref [W],COP_ref,p1_P_th [1/°C],p2_P_th [1/°C],p3_P_th [-],p4_P_th [1/°C],p1_P_el [1/°C],p2_P_el [1/°C],p3_P_el [-],p4_P_el [1/°C],p1_COP [-],p2_COP [-],p3_COP [-],p4_COP [-]
ait-deutschland,LWD 90A-HMD,2017-05-12,Outdoor Air/Water,On-Off,4.0,R290,1.17,,62.0,15.0,average,3064.0,7200.0,2.35,266.08129262650755,-0.001935204600565,1.2947255036891137,-266.04976731024783,283.83636359742644,0.011904955716152,0.3910861657485502,-283.8347480573913,217.2544092070365,-0.0508890067330432,5.429471919969618,-217.16266991193427
ait-deutschland,LWDV 91-1/3-HDV 12-3,2019-08-27,Outdoor Air/Water,Regulated,1.0,R290,1.05,,54.0,22.0,average,3228.0,7070.0,2.19,-27.12154470572367,-0.0032448515619138,0.897676916578222,27.08712459939739,70.60562296789213,0.0087655058585331,0.1135291075405228,-70.66140056618237,279.5000910942839,-0.0682698138390388,6.952536378091339,-279.3006658260133
ait-deutschland,LWCV 122R3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410a,3.6,47.0,,20.0,average,3807.0,8300.0,2.18,212.7549855898528,-0.005497525673337,1.0200882214325746,-212.7727396743333,-44.26771924468377,0.0075401004854444,0.1921797946450398,44.209009720842886,-291.3217944451132,-0.0750423800198166,6.584056404567274,291.48658746340567
ait-deutschland,LWCV 82R1/3,2019-03-27,Outdoor Air/Water,Regulated,1.0,R410a,3.0,48.0,,31.0,average,2182.0,5040.0,2.31,212.74912689337165,-0.007695199122532,1.144868062550486,-212.77885701885987,184.33466284666343,0.0089896510133126,0.1918722593978191,-184.38251341297564,146.214291695334,-0.0885403136785062,7.378354791758394,-146.05958642384448
ait-deutschland,SWCV 122(H)(K)3 (3~400V),2017-05-12,Brine/Water,Regulated,2.0,R407c,2.0,44.0,,7.0,average,3491.0,11100.0,3.18,-0.0033621364139639,0.0033621100464797,0.5541352914838602,-0.0359396834939997,-0.0166949445427016,0.0166949445427018,-0.1264150155230082,-0.0335633101056687,0.0860646458452386,-0.0860646792585279,7.692436668275841,0.0117247708227944
ait-deutschland,SWCV 162(H)(K)3,2017-05-12,Brine/Water,Regulated,2.0,R407c,2.2,44.0,,7.0,average,4733.0,14200.0,3.0,0.0006528142585039,-0.0006530358521406,0.7445310811629285,-0.0342771904802408,-0.0134570647470274,0.013457069079707,-0.0044604123139708,-0.0405463728743468,0.0863713986555697,-0.0863714580065869,7.655192717970931,0.0321646230699584
ait-deutschland,SWCV 62(H)(K)3,2017-05-12,Brine/Water,Regulated,2.0,R407c,1.16,44.0,,7.0,average,1634.0,5000.0,3.06,0.0007231456285185,-0.0007230587662174,0.7321620278848391,-0.0406591217791484,-0.0141072632641247,0.0141072712985707,-0.0200824921022645,-0.0376472888562364,0.0968598457700045,-0.0968598142648522,8.036286031848057,0.0123628765008623
ait-deutschland,SWCV 92(H)(K)3 (3~ 400V),2019-03-29,Brine/Water,Regulated,2.0,R407c,1.25,47.0,,12.0,average,2236.0,6620.0,2.96,0.0065879250248226,-0.0065879148168046,0.9969216407703708,-0.0487897682429623,-0.0081131598458968,0.0081131599722174,0.227257668017431,-0.0490217064336995,0.1019488156524552,-0.1019488156521449,8.18243752501876,0.0370151465781971
ait-deutschland,WWC 100H/X,2019-09-06,Water/Water,On-Off,6.0,R407c,2.95,53.0,,10.0,average,2866.0,10090.0,3.52,0.0044119469822161,-0.0044119607478005,1.1932186867683892,0.0002270729171434,-0.0151922755231384,0.0151922710987667,0.3408615295339824,0.0003018563411552,0.1160417538794472,-0.116041716977545,8.36543878466654,0.00373647976881
ait-deutschland,WWC 130H/X,2019-09-06,Water/Water,On-Off,6.0,R407c,3.5,53.0,,10.0,average,3273.0,11880.0,3.63,0.0042225309335,-0.0042225261773459,1.1844718068159636,0.0002095324567177,-0.0138698399810397,0.0138698412727592,0.3977959516798038,0.0002716195229046,0.1044046190949429,-0.1044046597140503,8.008532791192488,0.0028803473822941
ait-deutschland,WWC 160H/X,2019-09-06,Water/Water,On-Off,6.0,R407c,3.95,53.0,,7.0,average,3748.0,13530.0,3.61,0.0040271546401132,-0.0040271389541404,1.1687384381363486,-0.0004731926714146,-0.0149322954955343,0.014932295247784,0.3856682065599801,0.0022555578939523,0.1077187028457416,-0.1077187218760741,7.899922339791357,-0.0147937983380193
